catalog_id,sdss_name,plate,mjd,fiberID,ra_deg,dec_deg,redshift,redshift_err,mag_u,mag_g,mag_r,mag_i,mag_z,magErr_u,magErr_g,magErr_r,magErr_i,magErr_z,petroMag_r,petroR50_arcsec,petroR90_arcsec,extinction_r_mag,velocity_dispersion_kms,velDisp_err_kms,Halpha_flux_1e-17,Hbeta_flux_1e-17,OIII5007_flux_1e-17,NII6584_flux_1e-17,D4000,BPT_class,log_stellar_mass_Msun,sdss_explore_url,sdss_spectrum_fits_url,sdss_image_cutout_url
0,SDSS J155924.96+265456.8,1391,52817,1,239.853984,26.915788,0.123224,0.000045,20.4821,18.5923,17.5189,17.0596,16.6851,0.0896,0.0096,0.0064,0.0062,0.0129,17.5972,1.7157,5.0129,0.1368,152.3842,16.0353,5.0597,1.4063,9.7855,3.5997,2.1820,-1,10.8320,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.85398356391318&dec=26.91578757206053,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=1,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.85398356391318&dec=26.91578757206053&scale=0.2&width=200&height=200
1,SDSS J155955.66+265722.1,1391,52817,3,239.981929,26.956145,0.102967,0.000021,20.3629,18.3559,17.3646,16.9194,16.6341,0.0627,0.0071,0.0051,0.0049,0.0096,17.4156,1.0567,2.1562,0.1193,168.7642,13.0915,115.5481,30.8162,20.9875,73.4908,1.7647,3,10.9651,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.98192932672708&dec=26.956145343947593,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=3,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.98192932672708&dec=26.956145343947593&scale=0.2&width=200&height=200
2,SDSS J155926.52+265234.1,1391,52817,6,239.860489,26.876130,0.084752,0.000020,18.7060,17.1445,16.3519,15.9441,15.6345,0.0464,0.0065,0.0051,0.0052,0.0121,16.7140,3.8549,9.0837,0.1420,87.6139,14.4970,80.0362,22.0197,8.3455,32.3281,1.6093,2,10.8041,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.8604894908953&dec=26.8761295516179,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=6,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.8604894908953&dec=26.8761295516179&scale=0.2&width=200&height=200
3,SDSS J155935.98+270631.4,1391,52817,7,239.899934,27.108713,0.091265,0.000037,20.8966,18.7890,17.7950,17.3504,16.9598,0.1094,0.0094,0.0066,0.0072,0.0165,17.8465,1.2122,3.2232,0.1138,179.0902,14.9949,10.3830,0.5442,-0.6758,5.8558,1.9929,-1,10.4584,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.89993390412317&dec=27.108712590065384,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=7,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.89993390412317&dec=27.108712590065384&scale=0.2&width=200&height=200
4,SDSS J155950.28+265517.4,1391,52817,10,239.959481,26.921509,0.091581,0.000029,19.4495,17.5702,16.6080,16.1548,15.7851,0.0549,0.0064,0.0046,0.0046,0.0089,16.8168,2.4924,7.0137,0.1253,128.2969,9.3412,15.7757,3.7114,6.4535,12.1298,1.9921,-1,10.9039,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.9594814949154&dec=26.921509102256312,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=10,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.9594814949154&dec=26.921509102256312&scale=0.2&width=200&height=200
5,SDSS J155938.53+271016.9,1391,52817,18,239.910535,27.171359,0.091595,0.000033,19.4241,17.3730,16.4809,16.0233,15.7352,0.0844,0.0067,0.0051,0.0057,0.0151,16.7549,3.5689,8.2412,0.1172,113.1216,10.8269,12.1445,1.8823,6.5578,10.8245,1.9979,-1,10.9118,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.9105353257568&dec=27.171359411234366,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=18,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.9105353257568&dec=27.171359411234366&scale=0.2&width=200&height=200
6,SDSS J155941.58+270642.7,1391,52817,20,239.923266,27.111866,0.088763,0.000034,20.0689,18.3636,17.4396,16.9896,16.5927,0.0657,0.0079,0.0059,0.0064,0.0144,17.5117,1.4522,4.5289,0.1136,140.6515,13.0137,39.2673,13.7552,7.2742,17.3323,1.8583,2,10.5558,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.92326597703104&dec=27.111865973037897,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=20,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.92326597703104&dec=27.111865973037897&scale=0.2&width=200&height=200
7,SDSS J155852.01+265254.3,1391,52817,42,239.716716,26.881747,0.093390,0.000033,19.6540,18.2694,17.5950,17.2348,17.0182,0.0845,0.0118,0.0099,0.0111,0.0324,17.6633,3.3271,6.5746,0.1427,60.7675,33.7497,30.4075,7.5591,1.1510,14.0312,1.4796,2,10.1807,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.71671618798553&dec=26.88174732010674,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=42,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.71671618798553&dec=26.88174732010674&scale=0.2&width=200&height=200
8,SDSS J155902.63+265033.4,1391,52817,43,239.760965,26.842620,0.090412,0.000041,21.0628,18.7794,17.7574,17.3011,16.8975,0.1223,0.0095,0.0066,0.0067,0.0138,17.7831,1.2514,3.6815,0.1450,169.2600,17.4502,3.9138,0.3097,75.2800,4.5583,2.1741,-1,10.4638,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.7609649473457&dec=26.842620405974905,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=43,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.7609649473457&dec=26.842620405974905&scale=0.2&width=200&height=200
9,SDSS J155920.15+265345.0,1391,52817,44,239.833970,26.895841,0.086583,0.000028,19.0393,17.2857,16.2904,15.8142,15.4277,0.0418,0.0057,0.0041,0.0039,0.0075,16.5212,2.7676,7.3009,0.1404,147.1100,12.0404,58.4990,14.7043,11.4592,36.0851,1.9135,5,11.0426,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.8339700228127&dec=26.89584137092356,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=44,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.8339700228127&dec=26.89584137092356&scale=0.2&width=200&height=200
10,SDSS J155843.07+265906.7,1391,52817,46,239.679452,26.985204,0.090553,0.000036,20.1848,18.2298,17.2292,16.7941,16.4045,0.0686,0.0078,0.0055,0.0054,0.0108,17.3494,1.6319,4.6847,0.1411,140.3352,13.0138,4.2200,1.9078,20.2246,-3.3797,2.1734,-1,10.6607,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.67945198761282&dec=26.985203927431275,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=46,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.67945198761282&dec=26.985203927431275&scale=0.2&width=200&height=200
11,SDSS J155921.41+271147.5,1391,52817,47,239.839223,27.196538,0.091500,0.000023,19.4618,17.4923,16.5013,16.0312,15.6704,0.0532,0.0056,0.0041,0.0043,0.0094,16.6008,2.1730,6.7161,0.1148,180.8302,8.8223,20.4670,16.0837,13.3608,17.4373,2.2715,-1,11.0320,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.83922287367272&dec=27.196537762343596,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=47,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.83922287367272&dec=27.196537762343596&scale=0.2&width=200&height=200
12,SDSS J155842.82+270735.8,1391,52817,48,239.678412,27.126618,0.086420,0.000006,18.4821,17.4241,17.0011,16.6192,16.4002,0.0208,0.0052,0.0051,0.0052,0.0117,16.9915,2.3436,5.5000,0.1276,103.2150,15.3423,443.2422,95.0766,31.3667,158.2027,1.4307,1,10.3234,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.67841175885644&dec=27.12661803008071,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=48,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.67841175885644&dec=27.12661803008071&scale=0.2&width=200&height=200
